order_id,customer_id,product_id,order_date,quantity,unit_price,discount,region,status
ORD10001,C1011,P039,2022-12-25,3,22.99,0.0,South,Completed
ORD10002,C1045,P003,2023-08-11,1,54.99,0.0,West,Completed
ORD10003,C1122,P010,2023-09-29,2,39.99,0.0,North,Returned
ORD10004,C1194,P012,2023-11-05,3,44.99,0.0,North,Completed
ORD10005,C1170,P022,2023-12-21,3,11.99,0.0,North,Completed
ORD10006,C1090,P001,2022-07-05,3,19.99,0.0,South,Completed
ORD10007,C1187,P016,2022-05-26,2,54.99,0.0,East,Completed
ORD10008,C1078,P001,2023-06-28,1,19.99,0.0,East,Completed
ORD10009,C1045,P007,2023-01-14,1,210.0,0.05,West,Completed
ORD10010,C1136,P017,2022-06-09,1,29.99,0.0,North,Completed
ORD10011,C1165,P005,2022-10-06,1,99.99,,North,Completed
ORD10012,C1078,P005,2023-03-01,1,99.99,0.0,East,Returned
ORD10013,C1150,P011,2023-03-17,1,159.99,0.0,North,Completed
ORD10014,C1042,P016,2023-06-24,2,54.99,0.2,East,Completed
ORD10015,C1008,P031,2022-02-26,1,49.99,0.0,South,Completed
ORD10016,C1090,P010,2022-05-21,3,39.99,0.0,South,Completed
ORD10017,C1183,P025,2023-05-25,2,24.99,0.2,West,Completed
ORD10018,C1068,P016,2022-08-24,2,54.99,0.0,South,Completed
ORD10019,C1103,P038,2022-03-15,1,64.99,0.0,North,Completed
ORD10020,C1167,P026,2023-04-16,4,19.99,0.0,West,Completed
ORD10021,C1107,P016,2023-08-11,1,54.99,0.0,East,Completed
ORD10022,C1192,P017,2023-02-19,1,29.99,0.2,North,Completed
ORD10023,C1054,P008,2023-01-06,1,89.99,0.0,North,Completed
ORD10024,C1033,P001,2023-08-27,1,19.99,0.15,North,Completed
ORD10025,C1085,P010,2022-08-15,1,39.99,0.0,East,Completed
ORD10026,C1059,P001,2022-04-27,2,19.99,0.0,North,Completed
ORD10027,C1039,P024,2022-12-26,2,29.99,0.0,West,Completed
ORD10028,C1155,P017,2022-08-30,1,29.99,0.0,South,Completed
ORD10029,C1183,P019,2022-06-06,3,9.99,0.0,West,Completed
ORD10030,C1181,P031,2023-10-06,1,49.99,0.0,West,Completed
ORD10031,C1090,P003,2023-04-05,2,54.99,0.0,South,Completed
ORD10032,C1075,P021,2023-10-02,1,7.99,0.0,West,Completed
ORD10033,C1132,P017,2023-03-27,1,29.99,0.0,West,Completed
ORD10034,C1054,P015,2022-10-09,2,24.99,0.0,North,Completed
ORD10035,C1077,P038,2023-04-18,1,64.99,0.15,North,Returned
ORD10036,C1168,P025,2022-04-03,2,24.99,0.0,West,Completed
ORD10037,C1046,P007,2023-07-22,5,210.0,0.0,North,Returned
ORD10038,C1010,P024,2023-08-09,2,29.99,0.2,West,Completed
ORD10039,C1023,P011,2022-03-05,1,159.99,0.0,West,Completed
ORD10040,C1040,P033,2022-03-28,2,59.99,0.0,South,Completed
ORD10041,C1095,P016,2023-03-25,5,54.99,0.0,South,Completed
ORD10042,C1138,P004,2023-01-08,1,79.99,0.0,South,Completed
ORD10043,C1120,P015,2022-12-13,2,24.99,,East,Returned
ORD10044,C1041,P036,2022-04-07,2,39.99,0.0,North,Completed
ORD10045,C1118,P023,2023-11-04,5,22.99,0.0,East,Completed
ORD10046,C1175,P018,2022-03-25,2,14.99,0.15,North,Completed
ORD10047,C1060,P003,2023-11-03,2,54.99,0.0,South,Completed
ORD10048,C1092,P006,2022-03-28,1,129.99,0.0,South,Completed
ORD10049,C1084,P033,2022-05-11,2,59.99,0.0,West,Completed
ORD10050,C1068,P004,2023-12-03,4,79.99,0.2,South,Completed
ORD10051,C1074,P034,2022-01-19,1,39.99,0.1,West,Completed
ORD10052,C1053,P019,2023-05-13,1,9.99,0.0,East,Completed
ORD10053,C1000,P009,2022-10-30,3,49.99,0.05,West,Completed
ORD10054,C1063,P005,2023-09-25,1,99.99,0.0,North,Completed
ORD10055,C1106,P012,2023-12-11,3,44.99,0.0,West,Completed
ORD10056,C1137,P007,2023-03-25,1,210.0,0.0,South,Completed
ORD10057,C1048,P005,2023-03-31,2,99.99,0.0,West,Completed
ORD10058,C1044,P015,2022-08-28,2,24.99,0.2,West,Completed
ORD10059,C1081,P002,2022-07-18,1,34.99,0.0,West,Completed
ORD10060,C1050,P007,2023-04-18,3,210.0,0.0,West,Completed
ORD10061,C1138,P024,2023-03-05,5,29.99,0.0,South,Completed
ORD10062,C1030,P040,2022-05-22,4,27.99,0.2,East,Completed
ORD10063,C1053,P039,2023-07-22,4,22.99,0.0,East,Completed
ORD10064,C1082,P001,2022-05-08,1,19.99,0.0,West,Completed
ORD10065,C1071,P018,2023-06-10,1,14.99,0.0,South,Completed
ORD10066,C1135,P014,2022-08-16,3,89.99,0.0,East,Completed
ORD10067,C1090,P015,2023-03-01,1,24.99,0.0,South,Completed
ORD10068,C1117,P003,2022-03-25,1,54.99,0.05,West,Completed
ORD10069,C1075,P007,2023-10-28,1,210.0,0.05,West,Completed
ORD10070,C1159,P012,2023-04-29,2,44.99,0.2,North,Completed
ORD10071,C1194,P010,2022-01-06,4,39.99,0.1,North,Completed
ORD10072,C1161,P029,2023-07-16,4,199.99,0.0,South,Completed
ORD10073,C1030,P013,2022-10-23,1,49.99,0.1,East,Completed
ORD10074,C1138,P032,2023-09-30,1,34.99,0.2,South,Completed
ORD10075,C1068,P006,2022-01-17,2,129.99,0.0,South,Completed
ORD10076,C1142,P030,2022-10-26,1,109.99,0.0,East,Completed
ORD10077,C1072,P003,2023-03-03,1,54.99,0.0,West,Completed
ORD10078,C1186,P010,2023-01-05,1,39.99,0.0,North,Completed
ORD10079,C1103,P031,2023-06-04,2,49.99,0.0,North,Completed
ORD10080,C1134,P026,2023-10-13,1,19.99,0.0,East,Completed
ORD10081,C1042,P015,2023-01-01,3,24.99,0.0,East,Completed
ORD10082,C1138,P006,2023-10-06,1,129.99,0.0,South,Completed
ORD10083,C1034,P039,2022-05-17,1,22.99,0.0,West,Completed
ORD10084,C1102,P007,2022-06-29,3,210.0,0.0,East,Completed
ORD10085,C1198,P038,2023-05-06,2,64.99,0.0,South,Returned
ORD10086,C1110,P033,2023-04-14,1,59.99,0.1,South,Completed
ORD10087,C1037,P008,2022-11-20,4,89.99,0.0,West,Completed
ORD10088,C1139,P031,2023-07-11,1,49.99,0.1,North,Completed
ORD10089,C1170,P011,2022-02-18,3,159.99,0.0,North,Completed
ORD10090,C1176,P031,2023-01-12,1,49.99,0.0,East,Completed
ORD10091,C1186,P029,2023-01-31,1,199.99,0.2,North,Completed
ORD10092,C1132,P016,2023-06-16,1,54.99,0.2,West,Completed
ORD10093,C1075,P036,2023-09-09,5,39.99,0.15,West,Completed
ORD10094,C1193,P008,2022-03-23,1,89.99,0.0,East,Completed
ORD10095,C1063,P012,2023-03-13,1,44.99,0.0,North,Completed
ORD10096,C1090,P040,2022-12-28,2,27.99,0.0,South,Completed
ORD10097,C1034,P001,2022-02-28,1,19.99,0.0,West,Completed
ORD10098,C1099,P005,2023-11-27,1,99.99,0.2,South,Returned
ORD10099,C1075,P026,2022-03-10,1,19.99,0.0,West,Completed
ORD10100,C1144,P008,2023-08-04,1,89.99,0.2,North,Completed
ORD10101,C1107,P013,2023-01-16,1,49.99,0.1,East,Completed
ORD10102,C1125,P007,2023-02-12,1,210.0,0.05,West,Returned
ORD10103,C1116,P039,2022-07-10,1,22.99,0.0,North,Completed
ORD10104,C1098,P034,2022-09-26,3,39.99,0.0,North,Completed
ORD10105,C1087,P009,2023-09-19,1,49.99,0.0,South,Completed
ORD10106,C1128,P021,2022-05-06,1,7.99,0.1,North,Completed
ORD10107,C1171,P006,2023-04-01,5,129.99,0.0,East,Completed
ORD10108,C1100,P016,2022-11-24,2,54.99,0.0,East,Completed
ORD10109,C1152,P002,2022-10-25,4,34.99,0.0,East,Completed
ORD10110,C1198,P012,2023-12-19,2,44.99,0.0,South,Completed
ORD10111,C1056,P033,2022-05-05,5,59.99,0.0,West,Completed
ORD10112,C1148,P037,2023-05-21,1,49.99,0.0,East,Completed
ORD10113,C1069,P015,2023-07-19,1,24.99,0.0,East,Returned
ORD10114,C1112,P039,2023-02-12,5,22.99,0.0,West,Completed
ORD10115,C1016,P008,2023-02-24,3,89.99,0.15,North,Completed
ORD10116,C1037,P007,2023-04-06,1,210.0,0.0,West,Completed
ORD10117,C1097,P010,2023-07-19,2,39.99,0.1,West,Completed
ORD10118,C1079,P031,2022-02-26,3,49.99,0.0,West,Completed
ORD10119,C1184,P002,2022-06-15,1,34.99,0.0,West,Completed
ORD10120,C1042,P021,2023-06-16,4,7.99,0.0,East,Completed
ORD10121,C1074,P007,2023-10-13,5,210.0,0.15,West,Completed
ORD10122,C1060,P009,2022-04-06,2,49.99,0.0,South,Completed
ORD10123,C1168,P004,2022-06-07,1,79.99,0.0,West,Completed
ORD10124,C1142,P015,2022-12-12,3,24.99,0.0,East,Completed
ORD10125,C1060,P011,2022-01-30,1,159.99,0.0,South,Completed
ORD10126,C1051,P017,2022-09-29,2,29.99,0.0,South,Completed
ORD10127,C1017,P001,2023-10-17,1,19.99,0.0,North,Completed
ORD10128,C1124,P006,2023-10-20,5,129.99,0.0,North,Completed
ORD10129,C1015,P010,2023-12-03,1,39.99,0.0,East,Completed
ORD10130,C1011,P033,2022-06-11,1,59.99,0.0,South,Completed
ORD10131,C1007,P016,2023-09-14,1,54.99,0.0,South,Completed
ORD10132,C1088,P021,2022-12-20,5,7.99,0.15,North,Completed
ORD10133,C1068,P005,2022-04-19,1,99.99,0.0,South,Completed
ORD10134,C1194,P031,2022-09-11,1,49.99,0.2,North,Completed
ORD10135,C1170,P007,2023-03-05,1,210.0,0.0,North,Completed
ORD10136,C1010,P008,2022-12-02,4,89.99,0.0,West,Completed
ORD10137,C1107,P009,2022-06-13,1,49.99,0.0,East,Completed
ORD10138,C1163,P007,2022-11-12,1,210.0,0.2,South,Completed
ORD10139,C1192,P012,2022-09-04,1,44.99,0.0,North,Returned
ORD10140,C1166,P006,2023-05-22,2,129.99,0.0,South,Completed
ORD10141,C1082,P023,2022-10-20,2,22.99,0.0,West,Completed
ORD10142,C1028,P004,2022-09-28,2,79.99,0.0,North,Completed
ORD10143,C1192,P024,2023-02-15,1,29.99,0.0,North,Completed
ORD10144,C1010,P010,2022-10-23,1,39.99,0.0,West,Completed
ORD10145,C1087,P026,2022-10-14,3,19.99,0.0,South,Completed
ORD10146,C1049,P005,2022-05-12,5,99.99,0.0,South,Completed
ORD10147,C1017,P011,2022-12-14,2,159.99,0.0,North,Completed
ORD10148,C1137,P002,2023-09-09,2,34.99,0.0,South,Returned
ORD10149,C1181,P011,2022-05-21,2,159.99,0.0,West,Completed
ORD10150,C1046,P003,2022-06-02,2,54.99,0.0,North,Completed
ORD10151,C1036,P036,2023-09-20,1,39.99,0.0,North,Completed
ORD10152,C1126,P014,2022-11-03,2,89.99,0.0,West,Completed
ORD10153,C1129,P011,2023-05-17,2,159.99,0.0,East,Completed
ORD10154,C1145,P002,2023-01-13,1,34.99,0.2,East,Completed
ORD10155,C1112,P005,2023-12-06,2,99.99,0.0,West,Completed
ORD10156,C1024,P009,2023-11-03,3,49.99,0.0,West,Completed
ORD10157,C1019,P003,2022-02-22,2,54.99,0.2,North,Completed
ORD10158,C1064,P039,2023-11-29,1,22.99,0.0,East,Completed
ORD10159,C1034,P001,2022-07-15,1,19.99,0.0,West,Completed
ORD10160,C1152,P029,2023-12-09,1,199.99,0.0,East,Completed
ORD10161,C1071,P012,2023-04-28,4,44.99,0.0,South,Returned
ORD10162,C1128,P002,2022-05-22,2,34.99,0.0,North,Completed
ORD10163,C1189,P033,2023-05-05,2,59.99,0.1,North,Completed
ORD10164,C1051,P001,2023-06-30,1,19.99,0.0,South,Completed
ORD10165,C1185,P013,2023-11-29,2,49.99,0.0,West,Completed
ORD10166,C1107,P022,2022-07-16,5,11.99,0.15,East,Completed
ORD10167,C1121,P036,2022-11-01,3,39.99,0.0,North,Completed
ORD10168,C1188,P032,2023-05-16,1,34.99,0.0,East,Completed
ORD10169,C1125,P029,2022-10-08,1,199.99,0.0,West,Completed
ORD10170,C1134,P016,2023-02-09,3,54.99,0.0,East,Completed
ORD10171,C1026,P030,2022-10-25,1,109.99,0.0,South,Completed
ORD10172,C1162,P018,2023-03-29,2,14.99,0.0,South,Completed
ORD10173,C1161,P019,2023-07-06,1,9.99,0.0,South,Completed
ORD10174,C1042,P008,2022-04-22,2,89.99,0.0,East,Completed
ORD10175,C1043,P010,2023-11-17,4,39.99,0.0,East,Completed
ORD10176,C1010,P018,2022-04-13,1,14.99,0.0,West,Completed
ORD10177,C1070,P020,2022-05-21,1,6.99,0.0,East,Completed
ORD10178,C1078,P022,2023-02-21,2,11.99,0.0,East,Completed
ORD10179,C1071,P007,2023-10-29,1,210.0,0.0,South,Completed
ORD10180,C1099,P023,2023-10-24,1,22.99,0.0,South,Completed
ORD10181,C1072,P036,2022-08-26,2,39.99,0.0,West,Completed
ORD10182,C1010,P011,2022-06-29,1,159.99,0.0,West,Completed
ORD10183,C1192,P015,2022-02-07,5,24.99,0.0,North,Completed
ORD10184,C1085,P016,2022-10-24,4,54.99,0.05,East,Completed
ORD10185,C1113,P025,2022-12-10,1,24.99,0.0,North,Completed
ORD10186,C1026,P007,2023-05-21,4,210.0,0.2,South,Completed
ORD10187,C1114,P032,2022-04-26,1,34.99,0.0,South,Completed
ORD10188,C1111,P007,2022-07-10,1,210.0,0.0,North,Completed
ORD10189,C1135,P026,2023-11-22,3,19.99,0.0,East,Completed
ORD10190,C1046,P010,2023-02-20,3,39.99,0.0,North,Completed
ORD10191,C1106,P013,2023-11-17,1,49.99,0.0,West,Completed
ORD10192,C1078,P008,2022-09-12,1,89.99,0.0,East,Completed
ORD10193,C1020,P002,2022-10-01,5,34.99,0.0,West,Completed
ORD10194,C1190,P031,2022-01-12,1,49.99,0.0,West,Completed
ORD10195,C1073,P037,2023-11-15,1,49.99,0.0,North,Completed
ORD10196,C1134,P012,2023-05-30,4,44.99,,East,Completed
ORD10197,C1099,P003,2023-12-08,1,54.99,0.0,South,Completed
ORD10198,C1019,P017,2023-09-22,1,29.99,0.0,North,Completed
ORD10199,C1109,P006,2023-04-11,2,129.99,0.0,East,Completed
ORD10200,C1188,P028,2023-07-17,4,59.99,0.0,East,Completed
ORD10201,C1024,P035,2022-08-12,3,29.99,0.0,West,Completed
ORD10202,C1193,P040,2022-03-25,2,27.99,0.0,East,Completed
ORD10203,C1012,P026,2023-08-01,1,19.99,0.0,West,Completed
ORD10204,C1108,P024,2022-07-27,2,29.99,0.15,South,Completed
ORD10205,C1192,P023,2023-03-29,1,22.99,0.2,North,Completed
ORD10206,C1165,P032,2023-06-07,1,34.99,0.1,North,Completed
ORD10207,C1165,P011,2023-04-13,2,159.99,0.0,North,Completed
ORD10208,C1044,P010,2022-11-12,2,39.99,0.0,West,Completed
ORD10209,C1176,P004,2022-08-12,2,79.99,0.15,East,Completed
ORD10210,C1102,P007,2023-07-09,5,210.0,0.0,East,Returned
ORD10211,C1114,P032,2023-04-29,1,34.99,0.0,South,Completed
ORD10212,C1175,P007,2023-10-19,5,210.0,0.0,North,Completed
ORD10213,C1180,P017,2023-01-27,1,29.99,0.0,West,Completed
ORD10214,C1073,P024,2022-03-24,2,29.99,0.0,North,Completed
ORD10215,C1097,P010,2023-11-01,3,39.99,0.2,West,Completed
ORD10216,C1140,P007,2022-08-17,3,210.0,0.0,East,Completed
ORD10217,C1069,P011,2023-04-20,2,159.99,0.0,East,Completed
ORD10218,C1050,P011,2022-08-24,1,159.99,0.0,West,Completed
ORD10219,C1112,P026,2022-04-26,1,19.99,0.0,West,Completed
ORD10220,C1152,P030,2022-01-17,1,109.99,0.05,East,Completed
ORD10221,C1148,P022,2023-11-20,2,11.99,0.05,East,Completed
ORD10222,C1046,P010,2022-08-28,2,39.99,0.0,North,Completed
ORD10223,C1096,P003,2022-05-24,2,54.99,0.0,North,Completed
ORD10224,C1104,P011,2023-08-13,1,159.99,0.0,South,Completed
ORD10225,C1158,P039,2022-11-25,1,22.99,0.0,West,Completed
ORD10226,C1110,P009,2023-06-18,1,49.99,0.0,South,Returned
ORD10227,C1010,P035,2023-08-29,4,29.99,0.0,West,Completed
ORD10228,C1181,P007,2023-03-14,2,210.0,0.15,West,Completed
ORD10229,C1138,P003,2023-11-19,1,54.99,0.0,South,Completed
ORD10230,C1033,P006,2023-02-23,1,129.99,0.0,North,Completed
ORD10231,C1060,P040,2023-04-30,1,27.99,0.0,South,Completed
ORD10232,C1138,P010,2022-05-28,3,39.99,0.0,South,Completed
ORD10233,C1147,P034,2023-03-03,2,39.99,0.1,West,Completed
ORD10234,C1190,P002,2022-12-05,2,34.99,0.0,West,Completed
ORD10235,C1079,P003,2022-04-05,2,54.99,0.0,West,Returned
ORD10236,C1070,P005,2023-01-22,2,99.99,0.0,East,Completed
ORD10237,C1128,P010,2022-07-12,3,39.99,0.0,North,Completed
ORD10238,C1045,P007,2022-08-11,1,210.0,0.0,West,Completed
ORD10239,C1074,P007,2022-01-16,1,210.0,0.05,West,Completed
ORD10240,C1091,P001,2023-05-06,4,19.99,0.0,East,Completed
ORD10241,C1056,P011,2023-02-11,4,159.99,0.0,West,Completed
ORD10242,C1119,P007,2023-01-25,1,210.0,0.0,South,Completed
ORD10243,C1027,P003,2023-01-04,2,54.99,0.0,North,Returned
ORD10244,C1186,P011,2023-04-26,3,159.99,0.0,North,Completed
ORD10245,C1114,P035,2022-11-17,1,29.99,0.0,South,Completed
ORD10246,C1018,P033,2022-05-30,1,59.99,0.0,North,Completed
ORD10247,C1109,P005,2023-03-04,1,99.99,0.1,East,Completed
ORD10248,C1082,P028,2022-09-09,1,59.99,0.0,West,Completed
ORD10249,C1097,P039,2022-09-21,3,22.99,0.0,West,Completed
ORD10250,C1076,P026,2023-05-18,1,19.99,0.0,West,Completed
ORD10251,C1078,P030,2022-05-24,2,109.99,0.0,East,Completed
ORD10252,C1112,P002,2023-07-10,5,34.99,,West,Completed
ORD10253,C1010,P004,2022-03-18,4,79.99,0.0,West,Completed
ORD10254,C1002,P003,2023-02-27,1,54.99,0.0,West,Returned
ORD10255,C1137,P014,2022-06-04,1,89.99,0.0,South,Completed
ORD10256,C1148,P034,2023-09-25,2,39.99,0.0,East,Completed
ORD10257,C1114,P025,2023-11-07,1,24.99,0.2,South,Returned
ORD10258,C1151,P010,2023-06-27,2,39.99,0.0,South,Completed
ORD10259,C1046,P006,2023-05-30,3,129.99,0.0,North,Completed
ORD10260,C1049,P008,2022-07-03,1,89.99,0.1,South,Completed
ORD10261,C1042,P033,2023-09-27,2,59.99,0.0,East,Completed
ORD10262,C1151,P002,2023-02-11,1,34.99,0.0,South,Completed
ORD10263,C1053,P001,2022-09-07,5,19.99,0.05,East,Completed
ORD10264,C1100,P012,2023-10-28,3,44.99,0.2,East,Completed
ORD10265,C1164,P008,2023-05-03,1,89.99,0.1,West,Completed
ORD10266,C1161,P038,2023-03-21,2,64.99,0.0,South,Completed
ORD10267,C1018,P029,2022-04-08,4,199.99,0.0,North,Completed
ORD10268,C1116,P012,2023-12-10,4,44.99,0.0,North,Returned
ORD10269,C1084,P028,2022-03-18,2,59.99,0.0,West,Completed
ORD10270,C1126,P029,2023-11-05,1,199.99,0.0,West,Completed
ORD10271,C1179,P018,2022-08-01,2,14.99,0.0,North,Completed
ORD10272,C1194,P017,2023-02-12,4,29.99,0.0,North,Completed
ORD10273,C1125,P015,2023-08-04,3,24.99,0.0,West,Completed
ORD10274,C1018,P025,2022-12-06,1,24.99,0.0,North,Completed
ORD10275,C1108,P012,2023-12-07,2,44.99,0.0,South,Completed
ORD10276,C1180,P008,2022-02-24,1,89.99,0.05,West,Completed
ORD10277,C1104,P023,2023-09-21,5,22.99,0.0,South,Completed
ORD10278,C1157,P012,2022-01-31,2,44.99,0.0,West,Completed
ORD10279,C1166,P028,2022-08-22,1,59.99,0.0,South,Completed
ORD10280,C1014,P002,2023-11-28,2,34.99,0.0,East,Completed
ORD10281,C1123,P009,2022-10-30,3,49.99,0.0,North,Completed
ORD10282,C1042,P016,2022-06-07,1,54.99,0.0,East,Completed
ORD10283,C1071,P014,2023-02-03,1,89.99,0.05,South,Completed
ORD10284,C1092,P016,2023-04-01,1,54.99,,South,Completed
ORD10285,C1080,P023,2023-03-18,1,22.99,0.0,East,Completed
ORD10286,C1035,P023,2022-01-27,1,22.99,0.0,East,Completed
ORD10287,C1082,P033,2022-11-29,3,59.99,0.2,West,Completed
ORD10288,C1102,P039,2022-03-28,2,22.99,0.0,East,Completed
ORD10289,C1119,P006,2022-09-06,2,129.99,0.0,South,Completed
ORD10290,C1162,P009,2022-05-23,1,49.99,0.0,South,Completed
ORD10291,C1072,P001,2022-06-21,1,19.99,0.0,West,Completed
ORD10292,C1108,P014,2022-03-20,1,89.99,0.0,South,Completed
ORD10293,C1074,P033,2023-05-23,2,59.99,0.05,West,Completed
ORD10294,C1026,P009,2022-01-07,4,49.99,0.0,South,Completed
ORD10295,C1067,P003,2022-12-04,1,54.99,0.0,South,Completed
ORD10296,C1097,P023,2023-10-29,5,22.99,,West,Completed
ORD10297,C1102,P005,2023-12-13,1,99.99,0.2,East,Completed
ORD10298,C1076,P001,2022-10-26,2,19.99,0.0,West,Completed
ORD10299,C1171,P003,2022-09-06,1,54.99,0.2,East,Completed
ORD10300,C1118,P039,2023-08-01,1,22.99,0.0,East,Completed
ORD10301,C1107,P035,2023-07-18,1,29.99,0.0,East,Completed
ORD10302,C1046,P027,2022-08-03,1,9.99,0.0,North,Completed
ORD10303,C1105,P025,2023-02-23,2,24.99,0.0,South,Completed
ORD10304,C1013,P004,2022-09-16,2,79.99,0.0,West,Completed
ORD10305,C1027,P022,2022-03-17,1,11.99,0.0,North,Completed
ORD10306,C1167,P026,2023-07-02,2,19.99,0.0,West,Completed
ORD10307,C1008,P032,2023-07-11,1,34.99,0.0,South,Completed
ORD10308,C1073,P010,2023-07-04,2,39.99,0.0,North,Completed
ORD10309,C1022,P026,2022-09-12,2,19.99,0.0,East,Completed
ORD10310,C1035,P016,2022-02-15,2,54.99,0.0,East,Completed
ORD10311,C1165,P003,2022-12-06,5,54.99,0.0,North,Returned
ORD10312,C1107,P007,2022-09-22,1,210.0,0.0,East,Completed
ORD10313,C1071,P012,2023-12-06,2,44.99,0.0,South,Completed
ORD10314,C1073,P019,2023-11-27,2,9.99,,North,Completed
ORD10315,C1097,P016,2022-01-26,1,54.99,0.0,West,Completed
ORD10316,C1147,P015,2022-03-29,1,24.99,0.0,West,Completed
ORD10317,C1115,P016,2022-11-16,1,54.99,0.0,North,Completed
ORD10318,C1076,P009,2022-12-23,1,49.99,0.0,West,Completed
ORD10319,C1177,P017,2022-11-23,1,29.99,0.05,East,Returned
ORD10320,C1048,P013,2022-12-18,2,49.99,0.0,West,Completed
ORD10321,C1069,P036,2022-09-07,2,39.99,0.0,East,Completed
ORD10322,C1002,P006,2023-03-13,5,129.99,0.2,West,Completed
ORD10323,C1075,P013,2022-07-10,2,49.99,0.0,West,Returned
ORD10324,C1168,P003,2023-09-21,4,54.99,0.0,West,Completed
ORD10325,C1159,P002,2022-01-05,2,34.99,0.05,North,Completed
ORD10326,C1166,P002,2023-07-04,1,34.99,0.0,South,Completed
ORD10327,C1004,P023,2022-09-26,2,22.99,0.0,South,Completed
ORD10328,C1199,P034,2022-11-17,2,39.99,0.0,East,Completed
ORD10329,C1113,P034,2022-12-23,1,39.99,0.0,North,Completed
ORD10330,C1001,P039,2023-11-21,2,22.99,0.0,East,Completed
ORD10331,C1098,P025,2022-03-28,2,24.99,0.0,North,Completed
ORD10332,C1162,P025,2022-04-30,1,24.99,0.0,South,Completed
ORD10333,C1106,P012,2023-03-05,2,44.99,0.0,West,Completed
ORD10334,C1165,P006,2023-05-14,2,129.99,0.0,North,Completed
ORD10335,C1192,P024,2022-06-27,2,29.99,0.0,North,Completed
ORD10336,C1039,P026,2022-11-19,3,19.99,0.0,West,Completed
ORD10337,C1105,P024,2022-01-10,1,29.99,0.0,South,Completed
ORD10338,C1152,P003,2023-07-30,2,54.99,0.0,East,Completed
ORD10339,C1101,P036,2023-03-02,2,39.99,0.0,West,Completed
ORD10340,C1067,P017,2023-08-02,1,29.99,0.0,South,Completed
ORD10341,C1075,P012,2022-10-09,1,44.99,0.2,West,Completed
ORD10342,C1108,P015,2023-05-23,2,24.99,0.05,South,Completed
ORD10343,C1040,P022,2023-07-11,3,11.99,0.0,South,Completed
ORD10344,C1018,P004,2022-02-12,3,79.99,0.0,North,Completed
ORD10345,C1000,P004,2023-03-12,1,79.99,0.0,West,Completed
ORD10346,C1095,P017,2022-11-01,4,29.99,0.15,South,Completed
ORD10347,C1157,P003,2022-03-31,1,54.99,0.0,West,Completed
ORD10348,C1168,P026,2022-08-31,1,19.99,0.0,West,Completed
ORD10349,C1082,P036,2023-12-29,2,39.99,0.0,West,Completed
ORD10350,C1196,P006,2022-07-31,3,129.99,0.0,South,Completed
ORD10351,C1076,P035,2023-06-30,1,29.99,0.0,West,Completed
ORD10352,C1144,P002,2023-12-22,1,34.99,0.0,North,Completed
ORD10353,C1154,P030,2023-06-11,5,109.99,0.0,East,Completed
ORD10354,C1149,P029,2023-02-26,4,199.99,0.0,South,Completed
ORD10355,C1163,P005,2022-05-10,2,99.99,0.1,South,Completed
ORD10356,C1046,P018,2022-09-11,3,14.99,0.0,North,Completed
ORD10357,C1180,P009,2023-08-15,2,49.99,0.0,West,Completed
ORD10358,C1116,P022,2022-03-19,2,11.99,0.0,North,Completed
ORD10359,C1090,P024,2023-06-12,2,29.99,0.0,South,Completed
ORD10360,C1177,P018,2023-04-11,5,14.99,0.0,East,Returned
ORD10361,C1107,P011,2022-04-06,2,159.99,0.0,East,Completed
ORD10362,C1114,P009,2023-01-02,3,49.99,0.0,South,Completed
ORD10363,C1078,P014,2023-03-16,3,89.99,0.0,East,Completed
ORD10364,C1014,P006,2022-10-18,1,129.99,0.0,East,Completed
ORD10365,C1107,P011,2023-05-12,3,159.99,0.0,East,Completed
ORD10366,C1069,P025,2022-02-17,1,24.99,0.0,East,Completed
ORD10367,C1137,P005,2022-05-08,4,99.99,0.2,South,Returned
ORD10368,C1174,P013,2023-03-15,1,49.99,0.0,North,Completed
ORD10369,C1148,P016,2023-10-28,1,54.99,0.0,East,Completed
ORD10370,C1199,P027,2022-04-06,2,9.99,0.0,East,Completed
ORD10371,C1141,P028,2023-10-27,1,59.99,0.0,East,Completed
ORD10372,C1028,P006,2023-12-18,3,129.99,0.0,North,Completed
ORD10373,C1142,P013,2022-04-08,1,49.99,0.0,East,Completed
ORD10374,C1150,P003,2022-08-20,2,54.99,0.0,North,Returned
