order_id,customer_id,product_id,order_date,quantity,unit_price,discount,region,status,revenue
ORD10001,C1011,P039,2022-12-25,3,22.99,0.0,South,Completed,68.97
ORD10002,C1045,P003,2023-08-11,1,54.99,0.0,West,Completed,54.99
ORD10003,C1122,P010,2023-09-29,2,39.99,0.0,North,Returned,79.98
ORD10004,C1194,P012,2023-11-05,3,44.99,0.0,North,Completed,134.97
ORD10005,C1170,P022,2023-12-21,3,11.99,0.0,North,Completed,35.97
ORD10006,C1090,P001,2022-07-05,3,19.99,0.0,South,Completed,59.97
ORD10007,C1187,P016,2022-05-26,2,54.99,0.0,East,Completed,109.98
ORD10008,C1078,P001,2023-06-28,1,19.99,0.0,East,Completed,19.99
ORD10009,C1045,P007,2023-01-14,1,210.0,0.05,West,Completed,199.5
ORD10010,C1136,P017,2022-06-09,1,29.99,0.0,North,Completed,29.99
ORD10011,C1165,P005,2022-10-06,1,99.99,0.0,North,Completed,99.99
ORD10012,C1078,P005,2023-03-01,1,99.99,0.0,East,Returned,99.99
ORD10013,C1150,P011,2023-03-17,1,159.99,0.0,North,Completed,159.99
ORD10014,C1042,P016,2023-06-24,2,54.99,0.2,East,Completed,87.98400000000001
ORD10015,C1008,P031,2022-02-26,1,49.99,0.0,South,Completed,49.99
ORD10016,C1090,P010,2022-05-21,3,39.99,0.0,South,Completed,119.97
ORD10017,C1183,P025,2023-05-25,2,24.99,0.2,West,Completed,39.984
ORD10018,C1068,P016,2022-08-24,2,54.99,0.0,South,Completed,109.98
ORD10019,C1103,P038,2022-03-15,1,64.99,0.0,North,Completed,64.99
ORD10020,C1167,P026,2023-04-16,4,19.99,0.0,West,Completed,79.96
ORD10021,C1107,P016,2023-08-11,1,54.99,0.0,East,Completed,54.99
ORD10022,C1192,P017,2023-02-19,1,29.99,0.2,North,Completed,23.992
ORD10023,C1054,P008,2023-01-06,1,89.99,0.0,North,Completed,89.99
ORD10024,C1033,P001,2023-08-27,1,19.99,0.15,North,Completed,16.9915
ORD10025,C1085,P010,2022-08-15,1,39.99,0.0,East,Completed,39.99
ORD10026,C1059,P001,2022-04-27,2,19.99,0.0,North,Completed,39.98
ORD10027,C1039,P024,2022-12-26,2,29.99,0.0,West,Completed,59.98
ORD10028,C1155,P017,2022-08-30,1,29.99,0.0,South,Completed,29.99
ORD10029,C1183,P019,2022-06-06,3,9.99,0.0,West,Completed,29.97
ORD10030,C1181,P031,2023-10-06,1,49.99,0.0,West,Completed,49.99
ORD10031,C1090,P003,2023-04-05,2,54.99,0.0,South,Completed,109.98
ORD10032,C1075,P021,2023-10-02,1,7.99,0.0,West,Completed,7.99
ORD10033,C1132,P017,2023-03-27,1,29.99,0.0,West,Completed,29.99
ORD10034,C1054,P015,2022-10-09,2,24.99,0.0,North,Completed,49.98
ORD10035,C1077,P038,2023-04-18,1,64.99,0.15,North,Returned,55.241499999999995
ORD10036,C1168,P025,2022-04-03,2,24.99,0.0,West,Completed,49.98
ORD10037,C1046,P007,2023-07-22,5,210.0,0.0,North,Returned,1050.0
ORD10038,C1010,P024,2023-08-09,2,29.99,0.2,West,Completed,47.984
ORD10039,C1023,P011,2022-03-05,1,159.99,0.0,West,Completed,159.99
ORD10040,C1040,P033,2022-03-28,2,59.99,0.0,South,Completed,119.98
ORD10041,C1095,P016,2023-03-25,5,54.99,0.0,South,Completed,274.95
ORD10042,C1138,P004,2023-01-08,1,79.99,0.0,South,Completed,79.99
ORD10043,C1120,P015,2022-12-13,2,24.99,0.0,East,Returned,49.98
ORD10044,C1041,P036,2022-04-07,2,39.99,0.0,North,Completed,79.98
ORD10045,C1118,P023,2023-11-04,5,22.99,0.0,East,Completed,114.94999999999999
ORD10046,C1175,P018,2022-03-25,2,14.99,0.15,North,Completed,25.483
ORD10047,C1060,P003,2023-11-03,2,54.99,0.0,South,Completed,109.98
ORD10048,C1092,P006,2022-03-28,1,129.99,0.0,South,Completed,129.99
ORD10049,C1084,P033,2022-05-11,2,59.99,0.0,West,Completed,119.98
ORD10050,C1068,P004,2023-12-03,4,79.99,0.2,South,Completed,255.968
ORD10051,C1074,P034,2022-01-19,1,39.99,0.1,West,Completed,35.991
ORD10052,C1053,P019,2023-05-13,1,9.99,0.0,East,Completed,9.99
ORD10053,C1000,P009,2022-10-30,3,49.99,0.05,West,Completed,142.4715
ORD10054,C1063,P005,2023-09-25,1,99.99,0.0,North,Completed,99.99
ORD10055,C1106,P012,2023-12-11,3,44.99,0.0,West,Completed,134.97
ORD10056,C1137,P007,2023-03-25,1,210.0,0.0,South,Completed,210.0
ORD10057,C1048,P005,2023-03-31,2,99.99,0.0,West,Completed,199.98
ORD10058,C1044,P015,2022-08-28,2,24.99,0.2,West,Completed,39.984
ORD10059,C1081,P002,2022-07-18,1,34.99,0.0,West,Completed,34.99
ORD10060,C1050,P007,2023-04-18,3,210.0,0.0,West,Completed,630.0
ORD10061,C1138,P024,2023-03-05,5,29.99,0.0,South,Completed,149.95
ORD10062,C1030,P040,2022-05-22,4,27.99,0.2,East,Completed,89.568
ORD10063,C1053,P039,2023-07-22,4,22.99,0.0,East,Completed,91.96
ORD10064,C1082,P001,2022-05-08,1,19.99,0.0,West,Completed,19.99
ORD10065,C1071,P018,2023-06-10,1,14.99,0.0,South,Completed,14.99
ORD10066,C1135,P014,2022-08-16,3,89.99,0.0,East,Completed,269.96999999999997
ORD10067,C1090,P015,2023-03-01,1,24.99,0.0,South,Completed,24.99
ORD10068,C1117,P003,2022-03-25,1,54.99,0.05,West,Completed,52.2405
ORD10069,C1075,P007,2023-10-28,1,210.0,0.05,West,Completed,199.5
ORD10070,C1159,P012,2023-04-29,2,44.99,0.2,North,Completed,71.98400000000001
ORD10071,C1194,P010,2022-01-06,4,39.99,0.1,North,Completed,143.964
ORD10072,C1161,P029,2023-07-16,4,199.99,0.0,South,Completed,799.96
